t,switch,of_port,mac
0.1,spine,1,00:00:00:00:00:01
0.1,spine,2,00:00:00:00:00:02
0.1,spine,3,00:00:00:00:00:03
0.1,spine,4,00:00:00:00:00:04
0.1,spine,5,00:00:00:00:00:05
0.1,spine,6,00:00:00:00:00:06
0.1,spine,5,00:00:00:00:00:07
0.1,spine,6,00:00:00:00:00:08
0.1,tor1,3,00:00:00:00:00:01
0.1,tor1,3,00:00:00:00:00:02
0.1,tor1,3,00:00:00:00:00:03
0.1,tor1,3,00:00:00:00:00:04
0.1,tor1,1,00:00:00:00:00:05
0.1,tor1,3,00:00:00:00:00:06
0.1,tor1,2,00:00:00:00:00:07
0.1,tor1,3,00:00:00:00:00:08
0.1,tor2,3,00:00:00:00:00:01
0.1,tor2,3,00:00:00:00:00:02
0.1,tor2,3,00:00:00:00:00:03
0.1,tor2,3,00:00:00:00:00:04
0.1,tor2,3,00:00:00:00:00:05
0.1,tor2,1,00:00:00:00:00:06
0.1,tor2,3,00:00:00:00:00:07
0.1,tor2,2,00:00:00:00:00:08
